"Place","Observed_Cases","Predicted_Reported_Cases","Predicted_Total_Cases","Observed.Deaths","Predicted_Reported_Deaths","Predicted_Total.Deaths","Cases_per_million","Deaths_per_million"
"Andaman and Nicobar",6589,7509,442215,88,125,1205,19614.74,336.33
"Andhra Pradesh",1435447,1934160,62678653,9372,12529,94741,38188.8,257.03
"Arunachal Pradesh",21803,37472,1345763,81,169,1081,26138.83,127.19
"Assam",328526,526932,11992629,2184,4489,28614,16376.5,146.8
"Bihar",651888,725024,11736876,3831,9210,43607,6935.93,92.12
"Chandigarh",55352,62637,952040,635,798,3202,58415.84,765.55
"Chhattisgarh",912468,1010026,16398535,11734,13290,55184,38933.66,526.13
"Dadra and Nagar Haveli",9515,10768,454789,4,4,47,17795.56,6.82
"Delhi",1393747,1441171,32298170,21504,24787,130217,85427.99,1487.86
"Goa",135851,170231,2859657,2099,3007,12255,114401.68,2097.98
"Gujarat",752544,833680,10679538,9114,9771,32345,13621.97,166.45
"Haryana",694384,777555,12730020,6685,9328,39434,30319.04,372.45
"Jammu and Kashmir",244553,318175,19729485,3147,4176,56408,25753.25,352.73
"Jharkhand",315475,344779,5416772,4479,5052,21376,10477.64,154.97
"Karnataka",2203361,2894757,45086526,21841,34645,138979,46593.2,575.13
"Kerala",2147727,3056730,30106773,6427,13087,39387,87815.65,399.42
"Ladakh",16439,20791,312589,165,203,851,73306.57,737.22
"Madhya Pradesh",731319,795440,11105810,6988,8777,31707,10873.3,123.64
"Maharashtra",5378150,6012954,70329824,81475,118981,375785,54003.89,1087.16
"Manipur",39722,74721,1268097,578,1131,4719,27345.27,452.08
"Meghalaya",23284,51570,2008222,320,809,7248,16866.82,284.47
"Mizoram",8678,21532,544060,24,95,525,18676.53,84.76
"Nagaland",18039,25501,699709,203,506,3288,12768.75,248.68
"Odisha",612220,916932,21813270,2366,3871,19119,21746.87,98.06
"Punjab",497663,598213,11975025,11891,15660,73530,21472,579.27
"Rajasthan",859576,928736,18333372,6777,8471,41231,13893.84,130.17
"Sikkim",11424,21832,395174,205,317,1580,33867.96,504.44
"Tamil Nadu",1598092,2569474,46870171,17669,31592,139771,34425.18,453.43
"Telangana",528216,621635,10064462,2949,3565,15201,17819.59,104.76
"Tripura",40813,67185,2015217,428,645,4367,18023.27,184.82
"Uttar Pradesh",1619541,1716724,29190121,17546,22348,89694,8538.41,113.09
"Uttarakhand",287279,348028,7032861,4811,7380,36130,33741.64,725.73
"West Bengal",1133393,1507932,27918472,13281,17064,65296,16445.76,194.23
"India",24963227,30403185,380875012,273779,386291,1400992,22706.06,298.47
